Doença,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Infecção Fúngica,coceira,erupção cutânea,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,
Infecção Fúngica,erupção cutânea,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupção cutânea,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupção cutânea,erupções cutâneas nodais,,,,,,,,,,,,,,
Infecção Fúngica,erupção cutânea,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupção cutânea,manchas discrômicas,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupção cutânea,erupções cutâneas nodais,,,,,,,,,,,,,,
Infecção Fúngica,coceira,erupção cutânea,erupções cutâneas nodais,manchas discrômicas,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,calafrios,lacrimação,,,,,,,,,,,,,
Alergia,arrepios,calafrios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,calafrios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,calafrios,,,,,,,,,,,,,,
Alergia,arrepios,calafrios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,calafrios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,lacrimação,,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,calafrios,,,,,,,,,,,,,,
Alergia,espirros contínuos,arrepios,calafrios,lacrimação,,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,úlceras na língua,vômitos,tosse,dor no peito,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,úlceras na língua,vômitos,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,vômitos,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,úlceras na língua,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,úlceras na língua,vômitos,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,úlceras na língua,vômitos,tosse,,,,,,,,,,,,
Refluxo Gastroesofágico,acidez,úlceras na língua,vômitos,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,úlceras na língua,vômitos,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,vômitos,tosse,dor no peito,,,,,,,,,,,,
Refluxo Gastroesofágico,dor de estômago,acidez,úlceras na língua,tosse,dor no peito,,,,,,,,,,,,
Colestase Crônica,coceira,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,
Colestase Crônica,vômitos,pele amarelada,náusea,perda de apetite,dor abdominal,amarelamento dos olhos,,,,,,,,,,,
