Doença,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Infecção Fúngica,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infecção Fúngica,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alergia,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Refluxo Gastroesofágico,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
Colestase Crônica,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,3,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reação a Medicamentos,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
